Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
27,"MM Rahman, S Parvin, M Hasanuzzaman, R Saidur, NA Rahim","Effect of heat-generating solid body on mixed convection flow in a ventilated cavity",2013,"Heat transfer engineering","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4962420025290926146",18,"2025-03-24 02:18:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Chou2i8AAAAJ&pagesize=100&citation_for_view=Chou2i8AAAAJ:_FxGoFyzp5QC",34,15,1249,1261,27,2.25,5,5,12,"","",""
18,"S Parvin, S Ahmed, R Chowdhury","Effect of solar irradiation on forced convective heat transfer through a nanofluid based direct absorption solar collector",2017,"AIP conference proceedings","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16858469393191644207",25,"2025-03-24 02:18:52","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Chou2i8AAAAJ&pagesize=100&citation_for_view=Chou2i8AAAAJ:g5m5HwL7SMYC",1851,1,,,18,2.25,6,3,8,"","",""
18,"MS Alam, MM Rahman, S Parvin, K Vajravelu","Finite element simulation for heatline visualization of natural convective flow and heat transfer inside a prismatic enclosure",2016,"International journal of heat and technology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17484446247464602035",26,"2025-03-24 02:18:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Chou2i8AAAAJ&pagesize=100&citation_for_view=Chou2i8AAAAJ:vV6vV6tmYwMC",34,3,391,400,18,2.00,5,4,9,"","",""
25,"R Nasrin, S Parvin, MA Alim, AJ Chamkha","Non-Darcy Forced Convection through a Wavy Porous Channel Using CuO Nanofluid",2012,"International Journal of Energy &Technology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16751701015756270650",19,"2025-03-24 02:18:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Chou2i8AAAAJ&pagesize=100&citation_for_view=Chou2i8AAAAJ:0EnyYjriUFMC",4,8,1,8,25,1.92,6,4,13,"","",""
18,"H Mehraj, MS Hussain, S Parvin, MZK Roni, AFM Jamal Uddin","Response of repeated foliar application of boron-zinc on strawberry",2015,"Int. J. Expt. Agric","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11229319223655456138",27,"2025-03-24 02:18:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Chou2i8AAAAJ&pagesize=100&citation_for_view=Chou2i8AAAAJ:hkOj_22Ku90C",5,1,21,24,18,1.80,4,5,10,"","",""
9,"AI Alsabery, S Parvin, M Ghalambaz, AJ Chamkha, I Hashim","Convection heat transfer in 3D wavy direct absorber solar collector based on two-phase nanofluid approach",2020,"Applied Sciences","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11882908288990884108",40,"2025-03-24 02:18:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Chou2i8AAAAJ&pagesize=100&citation_for_view=Chou2i8AAAAJ:fQNAKQ3IYiAC",10,20,7265,7265,9,1.80,2,5,5,"","",""
23,"S Parvin, NF Hossain","Finite element simulation of MHD combined convection through a triangular wavy channel",2012,"International communications in heat and mass transfer","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8283000900405281616",20,"2025-03-24 02:18:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Chou2i8AAAAJ&pagesize=100&citation_for_view=Chou2i8AAAAJ:Y0pCki6q_DkC",39,6,811,817,23,1.77,12,2,13,"","",""
21,"MM Rahman, S Parvin, NA Rahim, M Hasanuzzaman, R Saidur","Simulation of mixed convection heat transfer in a horizontal channel with an open cavity containing a heated hollow cylinder",2012,"Heat Transfer—Asian Research","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9624006684956736669",22,"2025-03-24 02:18:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Chou2i8AAAAJ&pagesize=100&citation_for_view=Chou2i8AAAAJ:hqOjcs7Dif8C",41,4,339,353,21,1.62,4,5,13,"","",""
11,"A Akter, S Parvin","Analysis of natural convection flow in a trapezoidal cavity containing a rectangular heated body in presence of external oriented magnetic field",2018,"Journal of Scientific Research","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7558352848902049405",33,"2025-03-24 02:18:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Chou2i8AAAAJ&pagesize=100&citation_for_view=Chou2i8AAAAJ:fPk4N6BV_jEC",10,1,11,23,11,1.57,6,2,7,"","",""
20,"R Nasrin, S Parvin, MA Alim, AJ Chamkha","Transient analysis on forced convection phenomena in a fluid valve using nanofluid",2012,"Numerical Heat Transfer, Part A: Applications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15242697260398276389",23,"2025-03-24 02:18:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Chou2i8AAAAJ&pagesize=100&citation_for_view=Chou2i8AAAAJ:2osOgNQ5qMEC",62,7,589,604,20,1.54,5,4,13,"","",""
